Nom,Rue,postalCode,Latitude,Longitude,reviewsCount,totalScore
Susanna Trattoria,4563 Bd Saint-Charles,H9H 3C7,45.4632164,-73.8699826,89,4.6
Vivaldi,13071 Boul Gouin O,H8Z 1X1,45.5037181,-73.8414138,698,4.5
Tevere Express,4920 Boul. Saint-Jean,H9H 4B2,45.4910633,-73.8518974,80,3.6
Restaurant Casa Mare Enrg,15714 Boul. de Pierrefonds,H9H 3P6,45.4794193,-73.8653419,261,4.3
Pizza 2 Pour 1,3b Rue du Centre Commercial,H8Y 1N8,45.5103092,-73.8067876,177,3.9
Mamma's Restaurant Pizzeria,1805 Av. O'Brien,H4L 3W6,45.5233173,-73.6909585,505,4.1
Coronet Pizza,1671 Rue Poirier,H4L 1J2,45.5196677,-73.697455,208,4.6
Restaurant Il Boccalini,1408 Rue de l'Église,H4L 2H4,45.5122301,-73.6770437,216,4.2
Restaurant Du Collège,1475 Rue du Collège,H4L 2L8,45.5097276,-73.6749874,311,4.2
Restaurant Lucca,12 Rue Dante,H2S 1J5,45.5328814,-73.6135204,428,4.8
La Marinara,1218 Rue Stanley,H3B 2S7,45.4986232,-73.5722892,245,4.2
Pizza Il Focolaio,1223 R. du Square-Phillips,H3B 3E9,45.504014,-73.56821,4991,4.6
"Pizzeria NO.900 - Monkland, Montréal",5611 Av de Monkland,H4A 1E2,45.4755675,-73.6230587,681,4.2
Café Il Cortile,1442 Rue Sherbrooke O,H3G 1K4,45.497805,-73.5802463,293,4.2
Pasquale Restaurant Pizzeria,7001 Bd de la Vérendrye,H4E 3R9,45.4486202,-73.5897561,336,4.3
Pizza Welat,6509 Av. Somerled,H4V 1S7,45.4678213,-73.6386758,362,4.1
Fiorellino (Centre-Ville),470 Rue De La Gauchetière O,H2Z 1E3,45.5028652,-73.5635208,1495,4.1
La Medusa,1218 Rue Drummond,H3G 1V7,45.4979333,-73.5731121,425,4
Da Vinci Restaurant / Ristorante Da Vinci,1180 R. Bishop,H3G 2E3,45.4956322,-73.5747077,490,4.4
Atlas Pizza ndg,6555 Av. Somerled,H4V 1S9,45.4673173,-73.6390258,275,3.5
Kesté,275 Av. Fairmount O,H2V 0A1,45.5209321,-73.5974551,647,4.3
Fiorella,980 Boul. de Maisonneuve Ouest O,H3A 1M5,45.5016893,-73.5736656,171,4
Beatrice,1504 Rue Sherbrooke O,H3G 1L3,45.4970194,-73.5810282,1091,4.4
Restaurant Siciliana,1264 Rue Stanley,H3B 2S7,45.4989493,-73.573139,754,3.9
Drogheria Fine,68 Av. Fairmount O,H2T 2M2,45.5229987,-73.595104,788,4.5
"Pizzéria NO.900 - Fleury, Montréal",1021 Rue Fleury E,H2C 1P8,45.558075,-73.659359,686,4.1
Artigiani,4657 R. Saint-Denis,H2J 2L5,45.524973,-73.5847663,658,4.4
Pizzeria Dei Compari,1668 R. Saint-Denis,H2X 3K4,45.5149925,-73.5637476,2033,4.5
Pizzeria Napoletana,189 Rue Dante,H2S 1K1,45.5343792,-73.612602,3179,4
Trattoria Trestevere,1237 Rue Crescent,H3G 2B1,45.4969811,-73.5748906,313,4.5
Barcola Bistro Audio - Audio Foodies - Italian Restaurant - Tasting Menu,5607 Av du Parc,H2V 4H2,45.5227766,-73.602948,176,4.6
Restaurant Tre Marie,6934 Rue Clark,H2S 3G2,45.5325778,-73.6158783,256,4.2
Il Pagliaccio,"Canada, 365 Av. Laurier O",H2V 2K5,45.5193568,-73.5962759,130,4.6
Gema Pizzeria,6827 Rue Saint-Dominique,H2S 3B1,45.5333468,-73.6129903,1111,4.5
Pizza Nino,6588 Bd Monk,H4E 3J1,45.453026,-73.5937942,546,4.4
Pizzédélic Monkland,5556 Av de Monkland,H4A 1E1,45.475959,-73.6222029,316,4
Riventino,7 8e Avenue,H8P 2M6,45.4285928,-73.5950528,182,4.5
Pizza Giuseppe,1460 Av Dollard,H8N 1T4,45.4266663,-73.6275889,380,4
Pendeli's Pizza,5599 Chem. de la Côte St Luc,H3X 2C9,45.4785648,-73.6290139,471,4.2
Kings Pizza,598 Rue Victoria,H8S 1Y6,45.4380682,-73.6691517,78,3.8
Pizzeria Redipizza,2074 Rue Thierry,H8N 2N8,45.4366667,-73.6266611,215,4.7
Il Miglio,5235 Boul. Saint-Laurent,H2T 1S4,45.5243401,-73.5951136,198,4.5
Bacaro Pizzeria - Monkland,5950 Av de Monkland,H4A 1G8,45.4716464,-73.6262112,536,3.9
Luciano Trattoria,1212 Rue Saint-Zotique E,H2S 1N5,45.5403247,-73.6038394,375,4.8
Martini Pizzeria,9481 Rue Lajeunesse,H2M 1S5,45.5503452,-73.6509733,424,4.2
Le Petit Italien,1265 Rue Bernard O,H2V 1V9,45.5197383,-73.6092604,211,4.3
Primo & Secondo,7023 Rue Saint-Dominique,H2S 3B6,45.5344664,-73.615481,159,4.6
Elio Pizzeria,351 Rue de Bellechasse,H2S 1X1,45.5320694,-73.6026667,2099,4.4
Brama - Usine à bouffe,9850 Rue Saint-Urbain Local 101,H3L 2T2,45.5449878,-73.6603738,152,4.9
Pizza Motta Restaurant & Catering,303 Av. Mozart E,H2S 2V8,45.536249,-73.6133589,855,4.3
Restaurant Corneli,6741 Boul. Saint-Laurent,H2S 3C7,45.532248,-73.612363,2035,4.4
Café Via Dante,251 Rue Dante,H2S 1K3,45.5350161,-73.611951,163,4.6
Il Bazzali,285 Rue Beaubien E,H2S 1R7,45.532834,-73.606244,632,4.5
Restaurant Moccione,7495 R. Saint-Denis,H2R 2E5,45.540075,-73.6199398,425,4.9
Trattoria Mario,5545 Chem. Upper Lachine,H4A 2A5,45.4701353,-73.6082217,211,4.6
Impasto,48 Rue Dante,H2S 1J6,45.5331078,-73.613192,561,4.3
Trattoria Cinecitta,5220 Bd Décarie,H3X 3Z6,45.4845485,-73.6320967,210,4.4
Artisan de la pasta,1383 Av Dollard,H8N 1T3,45.426783,-73.626009,147,5
Trans Canada Pizzeria & Submarine,880 Rue Notre Dame,H8S 2B7,45.435011,-73.6715026,238,4
Al Dente Trattoria,5768 Av de Monkland,H4A 1E9,45.4735942,-73.6243961,328,4
Bocci Restaurant Bar Lounge,1756 Av Dollard,H8N 1T8,45.4288214,-73.6318866,986,4.1
Pasta Casareccia,5849 Rue Sherbrooke O,H4A 1X4,45.4695396,-73.6182876,510,4.4
La Campagnola,1708 Av Dollard,H8N 1T8,45.4285447,-73.6311595,658,4.5
Bistro Amerigo,6127 Av de Monkland,H4A 1H5,45.4700905,-73.6281285,622,4.7
Expresso Bar,12245 Blvd. Laurentien,H4K 1N4,45.5289573,-73.7215661,268,4.5
Restaurant Per Te,371 Rue Guizot E,H2P 2G9,45.5431391,-73.6327092,111,4.7
Restaurant Matterello,6950 R. Saint-Denis,H2S 2S4,45.5370914,-73.6121816,99,4.5
Restaurant La Piccola,2050 Rue Fleury E,H2B 1J3,45.5705889,-73.6514133,388,4.2
Pasta Express,1501 Rue Fleury E,H2C 1S5,45.5627225,-73.6566164,537,4.2
Blandino,6939 Bd Décarie,H3W 3E4,45.492908,-73.6487887,175,4.3
Restaurant La Molisana,1014 Rue Fleury E,H2C 1P7,45.557943,-73.6591053,427,3.8
Toto,1380 Rue Notre Dame,H8S 2C8,45.4350774,-73.6763569,398,3.8
Andrea Ristorante Lachine,3194 Bd Saint-Joseph,H8S 2P4,45.4339641,-73.691874,322,3.7
2M Pizza Dorval - Online order !,419 Av. Bourke,H9S 3W8,45.4451585,-73.721367,459,4.3
PASTA ANDREA,1718 Bd Saint-Joseph,H8S 2N2,45.432881,-73.679989,823,4.1
Taormina lounge,2530 Bd Saint-Joseph,H8S 2N9,45.4343279,-73.6867122,484,4.5
Café Gentile,9299 Av du Parc,H2N 2A2,45.5383638,-73.6544177,1033,4.5
Il Fornetto,1900 Bd Saint-Joseph,H8S 2N5,45.4331696,-73.6815857,1085,4.3
Giulietta Pizzeria Marché Central,951 Bd Crémazie O,H4N 3M5,45.5321177,-73.6487142,104,4.2
Restaurant Pasta Bar,230 Rue Chabanel O,H2N 1V5,45.5406357,-73.6529483,161,4.6
Resto Bar Damiano,719 Bd Décarie,H4L 3L4,45.5110918,-73.6773759,119,4.1
Trattoria La Villetta,1898 Bd Thimens,H4R 2K2,45.5123447,-73.6932531,189,4.3
Ottavio Ville Saint-Laurent,1134 Blvd. Marcel-Laurin,H4R 1J7,45.510127,-73.689835,1177,4.1
Birreria ITALI.CO,3131 Boulevard Cote Vertu Ouest,H4R 1Y8,45.4979517,-73.7054538,1070,4
Place Tevere,3131 Boulevard Cote Vertu Ouest,H4R 1Y8,45.4985295,-73.7072325,70,4.2
Station Pizza Moderne,5393 Boul Gouin O,H4J 1C7,45.534233,-73.7165679,301,4.7
Ristorante Il Cenone,6419 Boul Gouin O,H4K 1A9,45.529176,-73.7246516,184,4.1
Restaurant La Piazza,2525 Rue des Nations,H4R 3C8,45.5129511,-73.7121246,189,4.5
Restaurant Vino Rosso,5291 Bd Henri Bourassa O,H4R 1B7,45.5206309,-73.7109869,257,4.7
Serano Pizzeria,455 Av. Lafleur,H8R 3H8,45.433128,-73.6456948,414,4.3
Restaurant Crescendo,5150 Bd LaSalle,H4G 3G2,45.4547348,-73.5639343,1342,4.2
Pizza Pinoli,5524 Av de Monkland,H4A 1C7,45.4763753,-73.6218732,225,3.5
Pizza Mia (Marché Atwater),140 Av. Atwater,H4C 2G3,45.4795961,-73.5768235,145,4.3
Pizzeria Geppetto Notre-Dame,2504 Notre-Dame St W,H3J 1N5,45.4827271,-73.5753154,682,4.2
Osteria mkt,1333 Blvd Robert-Bourassa,H3A 1T9,45.5038213,-73.5707385,329,4.5
Pizzéria NO.900 - Verdun,4578 Rue Wellington,H4G 1W8,45.4585235,-73.5672751,304,4.4
La casina,5314 Av du Parc,H2V 4G7,45.5209241,-73.5998767,202,4.3
Maiolo Montreal,1800 Rue Sherbrooke O,H3H 1E5,45.495393,-73.582302,115,4.4
Brigade Pizzeria Napolitaine,1428 Rue Stanley,H3A 1P7,45.4995395,-73.5744414,1404,4.2
Place Tevere,"800 DE, Rue De La Gauchetière O",H5A 1K6,45.4994684,-73.5666175,7,2.7
Fiorellino (Notre-Dame),2472 Notre-Dame St W,H3J 1N5,45.4830404,-73.5748611,144,4.1
L'Académie,2100 Rue Crescent,H3G 2B8,45.498243,-73.578266,908,3.6
Cuisine Locale Cafe,5795 Chem. Upper Lachine,H4A 2B1,45.4675868,-73.611723,178,4.9
Patzzi,1 Pl. Monseigneur Charbonneau,H3B 2B6,45.5014758,-73.5692531,14,4.4
Pizza 88 Express,6694 Av Fielding,H4V 1N5,45.4669146,-73.6435507,111,3.9
Flying Pizza,2527 Rue Centre,H3K 1J8,45.4788574,-73.568997,0,
Conceria,3580 Notre-Dame St W,H4C 1P4,45.4797894,-73.580386,174,4.5
Pizza Max,"Le Faubourg Sainte Catherine, 1616 Saint-Catherine St W",H3H 1L7,45.493982,-73.5787514,0,
Domino's Pizza,2190 Av Dollard,H8N 1S6,45.4313168,-73.6361333,402,3.6
Ristorante Quattro,17 Notre-Dame St W,H2Y 1S5,45.5058682,-73.5560493,509,4.4
Parma café,1202 R. Bishop,H3G 2E3,45.4957744,-73.575097,522,4.5
Aria,700 Rue De La Gauchetière O,H3B 4L1,45.5010146,-73.5644801,197,3.8
Pizzeria Moretti Griffintown,1059 Rue Wellington,H3C 1V6,45.4936111,-73.5575,1664,3.6
L'Usine de Spaghetti,273 Rue Saint-Paul E,H2Y 1H2,45.5081871,-73.5522983,2073,4.4
Mano Cornuto,988 Rue Ottawa,H3C 1S3,45.4951136,-73.558456,763,4.5
Salumi Vino,358 Rue Notre Dame E,H2Y 1C7,45.5099721,-73.5524526,366,4.5
Bevo Bar + Pizzeria,410 R. Saint-Vincent,H2Y 3A5,45.5070202,-73.5532857,2120,4.3
Le Muscadin,443 R. Saint-Vincent,H2Y 3A6,45.5074838,-73.5538224,256,4.8
Restaurant Il Miglio Express,"111 Boulevard Robert-Bourassa, coin rue prince et, Wellington St Local 1401",H3C 2M1,45.4969228,-73.5557896,96,4.5
Quattro Piatti,747 Rue du Square-Victoria,H2X 3Y9,45.502018,-73.560006,57,4.5
Restaurant La Popessa,115 Rue Saint-Antoine O,H2Z 1K4,45.5055392,-73.5586762,208,4
Jacopo,436 Pl. Jacques-Cartier,H2Y 3B3,45.507727,-73.5532787,1038,4.2
Bartollos Italia Pizza & Pasta,200 Rue Sainte-Catherine E,H2X 1L1,45.511729,-73.561855,8,2.6
Pizzéria NO.900 - Vieux-Montréal,444 Rue McGill,H2Y 2G1,45.5003678,-73.5583573,789,4.3
A la Fine Pointe,2527 Rue Centre,H3K 1H7,45.4788574,-73.568997,72,3.5
Bella Vita,250 Rue Saint-Paul E,H2Y 1G9,45.5077776,-73.552247,298,3.3
Comptoir 400,400 Pl. Jacques-Cartier,H2Y 3W1,45.5073892,-73.5523246,880,4.2
bellucciitalia,100 Saint-Catherine St W local 200,H2X 3Y2,45.5083786,-73.5648768,0,
Caffe Un Po' Di Piu,3 Rue de la Commune E,H2Y 0B1,45.5055737,-73.5532532,378,4.4
Bello Deli,363 Pl. d'Youville,H2Y 2B7,45.5007981,-73.5562005,380,4.5
CAFÉ DU PARQUET,1000 Pl. Jean-Paul-Riopelle,H2Z 2B3,45.5030978,-73.561569,181,4.6
Da Giovanni,165 Rue Sainte-Catherine E,H2X 1K8,45.5115388,-73.5625699,958,3.9
Amelias,201 Rue Milton,H2X 1V5,45.5107415,-73.5726663,723,4.4
Parma Cafe,505 Rue De La Gauchetière O,H2Z 1Z5,45.5024018,-73.5642611,167,4.5
Restaurant Tbsp.,901 Rue du Square-Victoria,H2Z 1R1,45.5019699,-73.5618691,108,4.1
Elefanté,420 Notre-Dame St W,H2Y 1V3,45.5013634,-73.5591494,149,3.6
Pizzéria NO.900 - Griffintown,1378 Notre-Dame St W,H3C 1K8,45.4919348,-73.5653922,563,4.2
Wienstein & Gavino's,1434 Rue Crescent,H3G 2B6,45.4975111,-73.57675,3082,4.2
"Pizzéria NO.900 - Peel, Montréal",2049 Rue Peel,H3A 1T6,45.5014124,-73.5754871,834,4.3
FCO di Fiumicino,451 Av. Viger O,H2Z 1G6,45.5026172,-73.5628563,204,4.3
Vanellis,"Centre Eaton de Montréal, 705 Sainte-Catherine O",H3B 4G5,45.502466,-73.5713041,44,3.1
Restaurant Sul Posto,895 Rue De La Gauchetière O,H3B 4G1,45.500116,-73.5660971,20,4.5
Slice + Soda,2451 Notre-Dame St W,H3J 1N6,45.4833598,-73.5747986,53,4
Second Pizza,"1500 Avenue Atwater, Local FF01",H3Z 1X5,45.4888835,-73.5862622,42,3.8
Angela Pizzeria & Restaurant,1662 Boul. de Maisonneuve Ouest,H3H 1J7,45.4948887,-73.579957,585,3.5
Piazza Sociale Restaurant,1 Pl. Monseigneur Charbonneau,H3B 4M7,45.5009959,-73.568808,25,3.5
Biscotti e Cucina,,,45.5015095,-73.5672308,113,4.8
Enoteca Monza Pizzeria Moderna,1251 Av. McGill College,H3B 2Y4,45.5017873,-73.5703278,1720,4
Pizza Chez Dany,1237 Rue de la Montagne,H3G 1Z2,45.4977884,-73.5745751,616,4.2
Marché Italien Le Richmond,333 Rue Richmond,H3J 1T9,45.4885097,-73.5661999,518,4.3
Mangiafoco,105 Rue Saint-Paul O,H2Y 1Z5,45.504222,-73.5546802,683,4.4
Le Serpent,257 Rue Prince,H3C 2N4,45.4976508,-73.5571227,921,4.6
Il Pranzetto Restaurant,1111 Rue Saint-Urbain,H2Z 1Y2,45.50769,-73.562073,128,4.5
Restaurant Graziella,116 Rue McGill,H2Y 2E5,45.4995116,-73.5556176,388,4.4
Tiramisu,989 Boul. Saint-Laurent,H2Z 1J4,45.5078904,-73.559039,453,4
Ottavio,6880 Rue Jean-Talon E,H1S 1N1,45.5956987,-73.5708881,1239,4.1
Café Milano Montréal,5188 Rue Jarry E,H1R 1Y4,45.582135,-73.592961,2326,4.5
Beniamino Traiteur & Restaurant,8279 Boul Langelier,H1P 2B7,45.596404,-73.585521,156,4.7
Belanger Pizzeria,2820 Rue Bélanger,H1Y 1A7,45.5544371,-73.5962965,196,4
Restaurant Di Menna,6313 Rue Jarry E,H1P 1W1,45.5934833,-73.5831939,540,4.2
Pizza Le Regal,4334 Boul Henri-Bourassa E,H1H 1L8,45.598169,-73.6399801,76,3.9
Restaurant Il Pazzesco,7031 Rue Jarry E,H1J 1G3,45.6006383,-73.5770093,431,4.4
Le Richmond,377 Rue Richmond,H3J 1T9,45.488753,-73.56675,945,4.1
Brotelli Pasta Bar,"Tour CIBC, 1155 René-Lévesque Blvd W",H3B 3X7,45.4984579,-73.571219,71,4.2
Les Deux Fours,2379 Bélanger Est,H2G 1E4,45.5512989,-73.599495,749,4.3
Bâton Rouge Grillhouse & Bar,5385 Rue des Jockeys,H4P 2T8,45.494706,-73.655595,1604,4.1
Nouveau Système Beaubien,323 Rue Beaubien E,H2S 1R9,45.5331441,-73.6059842,446,4.4
Stella Pizzeria,1327 Avenue Laurier E,H2J 1H4,45.533423,-73.584177,692,4.4
Pizzeria Marconi,2222 Rue Beaubien E,H2G 1M7,45.5465764,-73.5935009,982,4.3
Le Roi du Smoked Meat,6705 Rue St-Hubert,H2S 2M7,45.5379828,-73.6066307,1533,4.1
Pizzeria Magpie Mile End,16 Rue Maguire,H2T 1B8,45.5246946,-73.5955078,825,4.4
Baristello,709B Rue Jarry E,H2P 1W2,45.545604,-73.627263,268,4.9
Maison des Pâtes Fraîches (la),865 Rue Rachel E,H2J 2H9,45.5242688,-73.5760882,731,4.6
Pizza St Viateur,27 Rue Bernard O,H2T 2J6,45.5269457,-73.6027105,551,4.3
Pizzeria Geppetto Beaubien,2510 Rue Beaubien E,H1Y 1G2,45.5491018,-73.5912942,576,4.3
Melrose Resto,6548 Boul. Saint-Laurent,H2S 3C6,45.5308369,-73.6103805,270,4.4
Québec Deli,590 Rue Jarry E,H2P 1V5,45.5441292,-73.6279625,510,3.6
Pasta E Pasta,5145 Av du Parc,H2V 4G3,45.5202208,-73.5965652,23,4
Restaurant Casimero,177 Rue Saint-Zotique E,H2S 1K9,45.533388,-73.6107242,9,4.6
Da Enrico Pizzeria,264 Rue Saint-Zotique E,H2S 1L3,45.5340954,-73.6095437,197,3.5
Mucca,236 Rue Saint-Zotique E,H2S 1L1,45.5338047,-73.6098032,167,4.8
Pizzeria Villeray,405 Rue Villeray,H2R 1H2,45.5410995,-73.6229652,192,3.7
Fiorellino (Laurier),381 Av. Laurier O,H2V 2K3,45.5191313,-73.5967169,417,4.1
Restaurant Da Emma,777 R. de la Commune O,H3C 1Y1,45.4956683,-73.5531617,751,4.5
Pizza Gourmetti,5791 Av. Victoria,H3W 2R3,45.4932382,-73.6343736,185,4.5
Isola Pizza (anciennement Chez Carl),3000 Bd René Lévesque #100,H3E 1T9,45.4667008,-73.5414405,325,4
Lasagne du Plateau,5007 Av du Parc,,45.519331,-73.5946561,71,4.7
Restaurant Cucina Antica,7064 Boul. Saint-Laurent,H2S 3E2,45.5337167,-73.6165699,231,4.4
Zappy Pizza,11 Rue de l'Église,H4G 2M1,45.4627308,-73.563789,857,4
